Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
488,Pascal Struijk,nl NED,DF,Leeds United,23-272,1999,26,24,2058,22.9,2,1,3,2,0,0,4,0,1.3,1.3,2.3,3.6,22,114,45,0.09,0.04,0.13,0.09,0.13,0.06,0.10,0.16,0.06,0.16,Matches,f4d296e4
489,Kamaldeen Sulemana,gh GHA,FWMF,Southampton,21-084,2002,15,9,832,9.2,0,1,1,0,0,0,1,0,1.0,1.0,1.2,2.2,28,33,75,0.00,0.11,0.11,0.00,0.11,0.11,0.13,0.24,0.11,0.24,Matches,a62f8bf1
490,Crysencio Summerville,nl NED,FW,Leeds United,21-192,2001,27,12,1397,15.5,4,2,6,4,0,0,3,0,2.6,2.6,1.6,4.2,49,45,87,0.26,0.13,0.39,0.26,0.39,0.17,0.10,0.27,0.17,0.27,Matches,df04eb4b
491,Sam Surridge,eng ENG,FW,Nott'ham Forest,24-286,1998,19,1,321,3.6,1,0,1,1,0,0,2,0,1.8,1.8,0.1,1.8,2,6,17,0.28,0.00,0.28,0.28,0.28,0.50,0.02,0.52,0.50,0.52,Matches,b017b770
492,Japhet Tanganga,eng ENG,DF,Tottenham,24-040,1999,4,2,146,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,5,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e9971f2d
493,Matt Targett,eng ENG,DF,Newcastle Utd,27-234,1995,15,5,535,5.9,0,0,0,0,0,0,1,0,0.0,0.0,0.4,0.4,3,42,13,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches,e514ab62
494,James Tarkowski,eng ENG,DF,Everton,30-172,1992,35,35,3150,35.0,1,1,2,1,0,0,6,0,2.5,2.5,2.2,4.7,13,99,7,0.03,0.03,0.06,0.03,0.06,0.07,0.06,0.13,0.07,0.13,Matches,15ea812b
495,Marcus Tavernier,eng ENG,MFFW,Bournemouth,24-049,1999,23,19,1743,19.4,5,4,9,5,0,0,1,0,3.1,3.1,2.9,6.0,67,56,137,0.26,0.21,0.46,0.26,0.46,0.16,0.15,0.31,0.16,0.31,Matches,5c0da4a4
496,Tetê,br BRA,FW,Leicester City,23-084,2000,12,9,704,7.8,1,0,1,1,0,0,0,0,1.8,1.8,0.4,2.2,21,25,54,0.13,0.00,0.13,0.13,0.13,0.23,0.05,0.28,0.23,0.28,Matches,7120a04d
497,Kenny Tete,nl NED,DF,Fulham,27-213,1995,28,26,2299,25.5,0,5,5,0,0,0,8,0,0.5,0.5,1.9,2.4,63,89,61,0.00,0.20,0.20,0.00,0.20,0.02,0.07,0.09,0.02,0.09,Matches,77d7c96f
498,Luke Thomas,eng ENG,DF,Leicester City,21-334,2001,14,9,869,9.7,0,0,0,0,0,0,2,0,0.1,0.1,0.7,0.8,8,41,12,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.08,0.01,0.08,Matches,fc027d02
499,Youri Tielemans,be BEL,MF,Leicester City,26-003,1997,28,24,2074,23.0,3,1,4,2,1,2,4,0,2.5,0.9,4.2,5.1,35,171,53,0.13,0.04,0.17,0.09,0.13,0.11,0.18,0.29,0.04,0.22,Matches,56f7a928
500,Kieran Tierney,sct SCO,DF,Arsenal,25-339,1997,24,5,666,7.4,0,1,1,0,0,0,0,0,0.3,0.3,0.3,0.6,24,31,26,0.00,0.14,0.14,0.00,0.14,0.04,0.05,0.08,0.04,0.08,Matches,fce2302c
501,Harry Toffolo,eng ENG,DF,Nott'ham Forest,27-264,1995,17,9,894,9.9,0,0,0,0,0,0,2,0,0.3,0.3,0.8,1.0,8,28,42,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.10,0.03,0.10,Matches,a105d46a
502,Takehiro Tomiyasu,jp JPN,DF,Arsenal,24-186,1998,21,6,663,7.4,0,1,1,0,0,0,2,0,0.2,0.2,0.6,0.8,14,51,28,0.00,0.14,0.14,0.00,0.14,0.03,0.08,0.11,0.03,0.11,Matches,b3af9be1
503,James Tomkins,eng ENG,DF,Crystal Palace,34-042,1989,6,3,338,3.8,1,0,1,1,0,0,3,1,1.0,1.0,0.0,1.0,1,2,1,0.27,0.00,0.27,0.27,0.27,0.27,0.00,0.27,0.27,0.27,Matches,e7ca0439
504,Ivan Toney,eng ENG,FW,Brentford,27-055,1996,33,33,2951,32.8,20,4,24,14,6,7,9,0,18.7,13.2,5.1,18.3,14,79,165,0.61,0.12,0.73,0.43,0.55,0.57,0.15,0.73,0.40,0.56,Matches,e09f279b
505,Adama Traoré,es ESP,FWMF,Wolves,27-105,1996,31,10,1303,14.5,2,1,3,2,0,0,1,0,1.2,1.2,3.5,4.7,73,32,141,0.14,0.07,0.21,0.14,0.21,0.09,0.24,0.33,0.09,0.33,Matches,9a28eba4
506,Bertrand Traoré,bf BFA,FWMF,Aston Villa,27-246,1995,8,1,233,2.6,2,0,2,2,0,0,1,0,0.7,0.7,0.1,0.8,9,9,28,0.77,0.00,0.77,0.77,0.77,0.28,0.03,0.30,0.28,0.30,Matches,c47541e0
507,Boubacar Traoré,ml MLI,MF,Wolves,21-263,2001,8,4,384,4.3,0,1,1,0,0,0,2,0,0.1,0.1,0.2,0.2,4,8,2,0.00,0.23,0.23,0.00,0.23,0.02,0.04,0.06,0.02,0.06,Matches,999ceb5f
508,Mark Travers,ie IRL,GK,Bournemouth,23-357,1999,11,10,945,10.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,fe558029
509,Kieran Trippier,eng ENG,DF,Newcastle Utd,32-233,1990,34,34,2982,33.1,1,6,7,1,0,0,5,0,0.7,0.7,11.2,12.0,33,226,132,0.03,0.18,0.21,0.03,0.21,0.02,0.34,0.36,0.02,0.36,Matches,21512407
510,Leandro Trossard,be BEL,FW,Arsenal,28-157,1994,17,8,712,7.9,1,8,9,1,0,0,0,0,1.4,1.4,4.0,5.5,31,48,88,0.13,1.01,1.14,0.13,1.14,0.18,0.51,0.69,0.18,0.69,Matches,38ceb24a
511,Leandro Trossard,be BEL,FWMF,Brighton,28-157,1994,16,16,1315,14.6,7,2,9,7,0,0,1,0,4.4,4.4,2.1,6.5,40,67,118,0.48,0.14,0.62,0.48,0.62,0.30,0.14,0.45,0.30,0.45,Matches,38ceb24a
512,Kostas Tsimikas,gr GRE,DF,Liverpool,26-363,1996,18,8,696,7.7,0,4,4,0,0,0,2,0,0.6,0.6,1.5,2.2,19,23,72,0.00,0.52,0.52,0.00,0.52,0.08,0.20,0.28,0.08,0.28,Matches,f315ca93
513,Deniz Undav,de GER,FWMF,Brighton,26-295,1996,17,4,414,4.6,2,0,2,2,0,0,0,0,3.1,3.1,0.8,3.9,5,6,31,0.43,0.00,0.43,0.43,0.43,0.67,0.17,0.85,0.67,0.85,Matches,dd549382
514,Yan Valery,tn TUN,DF,Southampton,24-077,1999,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,531a4aa8
515,Virgil van Dijk,nl NED,DF,Liverpool,31-306,1991,30,30,2655,29.5,3,1,4,3,0,0,3,0,2.6,2.6,1.2,3.8,10,120,7,0.10,0.03,0.14,0.10,0.14,0.09,0.04,0.13,0.09,0.13,Matches,e06683ca
516,Raphaël Varane,fr FRA,DF,Manchester Utd,30-015,1993,21,19,1651,18.3,0,0,0,0,0,0,1,0,0.7,0.7,0.2,0.9,16,53,3,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches,9f8e9423
517,Jamie Vardy,eng ENG,FW,Leicester City,36-119,1987,34,17,1691,18.8,3,4,7,3,0,1,1,0,6.5,5.7,1.4,7.0,15,13,97,0.16,0.21,0.37,0.16,0.37,0.34,0.07,0.42,0.30,0.38,Matches,45963054
518,Joël Veltman,nl NED,DF,Brighton,31-115,1992,28,23,2054,22.8,1,1,2,1,0,0,4,0,1.7,1.7,0.6,2.4,43,145,48,0.04,0.04,0.09,0.04,0.09,0.08,0.03,0.10,0.08,0.10,Matches,dad4b285
519,Fabio Vieira,pt POR,MF,Arsenal,22-345,2000,20,3,477,5.3,1,2,3,1,0,0,0,0,0.8,0.8,2.5,3.3,7,30,39,0.19,0.38,0.57,0.19,0.57,0.16,0.47,0.62,0.16,0.62,Matches,6412cc03
520,Matías Viña,uy URU,DF,Bournemouth,25-182,1997,9,4,339,3.8,2,0,2,2,0,0,1,0,0.8,0.8,0.2,1.0,9,12,14,0.53,0.00,0.53,0.53,0.53,0.22,0.04,0.26,0.22,0.26,Matches,08eb3b58
