Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
548,Ryan Yates,eng ENG,MF,Nott'ham Forest,25-170,1997,23,18,1573,17.5,0,2,2,0,0,0,4,0,2.3,2.3,1.2,3.4,10,41,26,0.00,0.11,0.11,0.00,0.11,0.13,0.07,0.20,0.13,0.20,Matches,c1fe2a48
549,Ashley Young,eng ENG,DF,Aston Villa,37-305,1985,27,22,1908,21.2,1,0,1,1,0,0,5,0,0.4,0.4,1.0,1.4,27,102,33,0.05,0.00,0.05,0.05,0.05,0.02,0.05,0.06,0.02,0.06,Matches,be927d03
550,Illia Zabarnyi,ua UKR,DF,Bournemouth,20-251,2002,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,88968486
551,Wilfried Zaha,ci CIV,FWMF,Crystal Palace,30-181,1992,26,26,2238,24.9,7,2,9,7,0,2,5,0,6.3,4.6,2.6,7.2,84,70,229,0.28,0.08,0.36,0.28,0.36,0.25,0.11,0.36,0.18,0.29,Matches,b2bc3b1f
552,Denis Zakaria,ch SUI,MF,Chelsea,26-171,1996,7,5,411,4.6,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,9,6,3,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,Matches,384d58d9
553,Jordan Zemura,zw ZIM,DF,Bournemouth,23-177,1999,19,17,1454,16.2,0,1,1,0,0,0,1,0,0.4,0.4,1.9,2.2,39,45,48,0.00,0.06,0.06,0.00,0.06,0.02,0.11,0.14,0.02,0.14,Matches,e8271ad9
554,Oleksandr Zinchenko,ua UKR,DF,Arsenal,26-146,1996,27,26,2118,23.5,1,2,3,1,0,0,3,0,1.4,1.4,1.4,2.8,67,227,68,0.04,0.08,0.13,0.04,0.13,0.06,0.06,0.12,0.06,0.12,Matches,51cf8561
555,Hakim Ziyech,ma MAR,FWMF,Chelsea,30-052,1993,16,6,634,7.0,0,2,2,0,0,0,1,0,0.6,0.6,1.8,2.4,18,39,64,0.00,0.28,0.28,0.00,0.28,0.08,0.26,0.35,0.08,0.35,Matches,6622454d
556,Kurt Zouma,fr FRA,DF,West Ham,28-195,1994,24,23,1944,21.6,2,0,2,2,0,0,0,0,2.2,2.2,0.1,2.3,3,30,1,0.09,0.00,0.09,0.09,0.09,0.10,0.00,0.11,0.10,0.11,Matches,ce4246f5
557,Martin Ødegaard,no NOR,MF,Arsenal,24-144,1998,34,34,2887,32.1,15,7,22,15,0,0,4,0,9.8,9.8,7.5,17.3,75,247,176,0.47,0.22,0.69,0.47,0.69,0.31,0.24,0.54,0.31,0.54,Matches,79300479
